Date,Asset,Weight,Price,Return,Volatility,Covariance_SP500
2025-01-01,AAPL,0.3,192.87,0.0086,0.29,0.22
2025-01-01,MSFT,0.25,337.99,0.0077,0.13,0.11
2025-01-01,AMZN,0.2,148.32,0.0177,0.12,0.11
2025-01-01,TSLA,0.15,250.65,0.0154,0.16,0.11
2025-01-01,JPM,0.1,158.62,-0.0091,0.22,0.15
2025-02-01,AAPL,0.3,187.16,0.0131,0.19,0.13
2025-02-01,MSFT,0.25,349.42,0.0077,0.17,0.13
2025-02-01,AMZN,0.2,142.27,0.0111,0.26,0.17
2025-02-01,TSLA,0.15,250.0,0.0071,0.28,0.2
2025-02-01,JPM,0.1,157.82,-0.0006,0.13,0.11
2025-03-01,AAPL,0.3,194.1,-0.0022,0.19,0.14
2025-03-01,MSFT,0.25,330.63,0.012,0.34,0.29
2025-03-01,AMZN,0.2,145.93,0.0117,0.14,0.09
2025-03-01,TSLA,0.15,252.43,0.007,0.21,0.14
2025-03-01,JPM,0.1,156.42,0.0206,0.18,0.14
2025-04-01,AAPL,0.3,192.22,0.0061,0.14,0.12
2025-04-01,MSFT,0.25,335.01,0.0161,0.12,0.1
2025-04-01,AMZN,0.2,146.76,0.0193,0.3,0.19
2025-04-01,TSLA,0.15,248.8,0.0069,0.32,0.25
2025-04-01,JPM,0.1,156.37,0.0081,0.19,0.13
2025-05-01,AAPL,0.3,194.06,0.0236,0.32,0.24
2025-05-01,MSFT,0.25,341.99,0.0035,0.29,0.23
2025-05-01,AMZN,0.2,143.72,0.0256,0.24,0.17
2025-05-01,TSLA,0.15,253.44,0.007,0.19,0.14
2025-05-01,JPM,0.1,157.18,0.0136,0.21,0.18
2025-06-01,AAPL,0.3,187.93,0.005,0.33,0.28
2025-06-01,MSFT,0.25,345.72,0.0133,0.3,0.2
2025-06-01,AMZN,0.2,144.1,0.0197,0.31,0.27
2025-06-01,TSLA,0.15,249.49,0.0067,0.17,0.13
2025-06-01,JPM,0.1,158.79,0.0126,0.12,0.09
2025-07-01,AAPL,0.3,185.64,0.0058,0.15,0.1
2025-07-01,MSFT,0.25,338.48,0.014,0.24,0.19
2025-07-01,AMZN,0.2,144.56,0.0093,0.34,0.23
2025-07-01,TSLA,0.15,243.39,0.0097,0.19,0.11
2025-07-01,JPM,0.1,158.05,0.0346,0.13,0.09
